,time_index,service,rate,error_rate,duration
72,6,Auth Service,883,0.03107731395828028,0.4281815999995255
73,6,Order Service,902,0.006382846462340028,0.738798264544588
74,6,API,883,0.1688927969683206,4.288822490306755
75,6,www,883,0.1688927969683206,4.2947904383313205
76,6,Website,883,0.1688927969683206,4.876038652792938
77,7,Product DB,893,0.002480336650521904,0.16893429633175097
78,7,Customer DB,896,0.02952994622190851,0.007125512202050002
79,7,Order DB,954,0.01782917830108553,0.2678752698020702
80,7,Shipping Cost Service,880,0.011276439511932888,0.1623149485712018
81,7,Caching Service,893,0.002480336650521904,2.318498765239456
82,7,Product Service,896,0.042853342091770386,2.8034039359477276
83,7,Auth Service,896,0.02952994622190851,0.313640450666186
84,7,Order Service,954,0.01782917830108553,1.1699476338742532
85,7,API,896,0.08767903723047976,5.038655662002267
86,7,www,896,0.08767903723047976,5.131410269872754
87,7,Website,896,0.08767903723047976,5.214992452747963
88,8,Product DB,944,0.012301188318931223,0.0074670420365775605
89,8,Customer DB,916,0.0026284196803413326,0.0047480610441492585
90,8,Order DB,896,0.008962383302463744,0.2127149635257339
91,8,Shipping Cost Service,852,0.005562280070529285,0.14107070031926444
92,8,Caching Service,944,0.10603943082402037,2.1101058389693375
93,8,Product Service,916,0.11334852372601101,2.263360068581563
94,8,Auth Service,916,0.007476893854263542,0.352594742314673
95,8,Order Service,896,0.008962383302463744,0.9417079234430953
96,8,API,916,0.12786501787123217,4.3353244101552555
97,8,www,916,0.12786501787123217,4.481357414173846
98,8,Website,916,0.12786501787123217,4.525219144511765
99,9,Product DB,927,0.039049482797857776,0.14901929838530284
100,9,Customer DB,888,0.002288086924307636,0.024019091042323915
101,9,Order DB,928,0.012228758363076369,0.09270918832132306
102,9,Shipping Cost Service,900,0.004985952424600112,0.22819552350500033
103,9,Caching Service,927,0.05306860956872679,2.1878467845572085
104,9,Product Service,888,0.0599458228931149,2.3457079126713065
105,9,Auth Service,888,0.0034068095042091183,0.3489726787294576
106,9,Order Service,928,0.012228758363076369,1.0226268142422437
107,9,API,888,0.07460494013391661,4.4527753409809
108,9,www,888,0.07460494013391661,4.549033729880851
109,9,Website,888,0.07460494013391661,4.650964384066681
110,10,Product DB,911,0.0071329954787103115,0.324067418829148
111,10,Customer DB,861,0.002844926632596059,0.028635788241353124
112,10,Order DB,931,0.0019914523475054566,0.09107762912342285
113,10,Shipping Cost Service,857,0.004966134057851156,0.1690897568558568
114,10,Caching Service,911,0.0071329954787103115,2.5742566172015473
115,10,Product Service,861,0.03030765500226001,2.7674990303006672
116,10,Auth Service,861,0.01645111604560828,0.14237015896554495
117,10,Order Service,931,0.004874263138591638,0.8674925520612954
118,10,API,861,0.050908955164831626,4.286073610671624
119,10,www,861,0.050908955164831626,4.33743695042975
120,10,Website,861,0.050908955164831626,4.489727254790588
121,11,Product DB,869,0.0040078313339175315,0.237724563267522
122,11,Customer DB,890,0.0007253026510098825,0.15896954683581402
123,11,Order DB,914,0.0195944203929908,0.0051229181655295004
124,11,Shipping Cost Service,841,0.018337352737377247,0.4360595390654852
125,11,Caching Service,869,0.15960351414622953,2.19694039015183
126,11,Product Service,890,0.17561252536269345,2.3515649934361664
127,11,Auth Service,890,0.012009614660288919,0.6626860750220478
128,11,Order Service,914,0.0195944203929908,0.6135521280781266
129,11,API,890,0.20147249996227556,4.213126067509657
130,11,www,890,0.20147249996227556,4.534772189393191
131,11,Website,890,0.20147249996227556,4.808249073747543
132,12,Product DB,887,0.005702151393755237,0.23228371337376139
133,12,Customer DB,918,0.002652333031713155,0.07826668598413562
134,12,Order DB,902,0.012467111872560856,0.09075574075437007
135,12,Shipping Cost Service,904,0.02024048257025689,0.2139480233026092
136,12,Caching Service,887,0.005702151393755237,2.4888985965047468
137,12,Product Service,918,0.028411050311983987,2.609463625141105
138,12,Auth Service,918,0.009571649485465718,0.3509161595026801
139,12,Order Service,902,0.0170828952229534,0.6815967891766983
140,12,API,918,0.05414944545741274,4.145674203629293
141,12,www,918,0.05414944545741274,4.146847511497093
142,12,Website,918,0.05414944545741274,4.223223054926521
143,13,Product DB,929,0.013908886589855087,0.15260569568976054
144,13,Customer DB,923,0.004649137819400054,0.008794513533252245
145,13,Order DB,931,0.01242050553392624,0.1882422634307077
146,13,Shipping Cost Service,884,0.001124027763238199,0.2031144644789259
147,13,Caching Service,929,0.1064611682732481,2.1408106817251737
148,13,Product Service,923,0.11161504648385268,2.565351140935469
149,13,Auth Service,923,0.022697637499116546,0.2593308108743225
150,13,Order Service,931,0.01242050553392624,1.0306783805346165
151,13,API,923,0.14256302629986717,4.443265629553015
152,13,www,923,0.14256302629986717,4.713692233327518
153,13,Website,923,0.14256302629986717,4.724132093190867
154,14,Product DB,880,0.027699889327857347,0.04574838795030646
155,14,Customer DB,855,0.0037344159575890185,0.3806887672250425
156,14,Order DB,955,0.036678179935501994,0.24410378986913212
157,14,Shipping Cost Service,882,0.0031101822177944122,0.17902990565583246
158,14,Caching Service,880,0.11360527997720012,2.2435461205589804
159,14,Product Service,855,0.11966200043928044,2.729366969894543
160,14,Auth Service,855,0.01363860223644369,0.5588793949934489
161,14,Order Service,955,0.036678179935501994,0.8157984473771049
162,14,API,855,0.16351739630619577,4.8935199434553445
163,14,www,855,0.16351739630619577,5.127273208433321
164,14,Website,855,0.16351739630619577,5.145267564797275
165,15,Product DB,839,0.0014872386548273348,0.5174095485152361
166,15,Customer DB,880,0.013931097989752936,0.06810950061606559
167,15,Order DB,898,0.007107760196128954,0.013670005557769288
168,15,Shipping Cost Service,912,0.012575885869004044,0.22318521041505704
169,15,Caching Service,839,0.110488883726076,2.1627258177834223
170,15,Product Service,880,0.13391130182822675,2.369920133249585
171,15,Auth Service,880,0.013931097989752936,0.4777211428778342
172,15,Order Service,898,0.007370228772811418,0.5717555195467287
173,15,API,880,0.15227121420780654,4.179871522004297
174,15,www,880,0.15227121420780654,4.497921148968953
175,15,Website,880,0.15227121420780654,4.796504665331949
176,16,Product DB,909,0.00268929444405657,0.14771163557657524
177,16,Customer DB,873,0.03379861246314543,0.28146343728950896
178,16,Order DB,891,0.023026521019130913,0.4879803288901525
179,16,Shipping Cost Service,871,0.002240494437757417,0.2187283265215126
180,16,Caching Service,909,0.09551674040855737,2.1306189409276057
181,16,Product Service,873,0.12804501675060864,2.239088569812166
182,16,Auth Service,873,0.03379861246314543,0.5852683789018664
183,16,Order Service,891,0.023026521019130913,1.133025205470033
184,16,API,873,0.1769153634898467,4.567319331797096
185,16,www,873,0.1769153634898467,4.7165877207121
186,16,Website,873,0.1769153634898467,4.803575206819027
187,17,Product DB,856,0.011906016534837985,0.33675598350277236
188,17,Customer DB,907,0.009629984661134029,0.18371566045330137
189,17,Order DB,928,0.0008769832247737232,0.00417866645114297
190,17,Shipping Cost Service,909,0.014572497063571941,0.390001034191923
191,17,Caching Service,856,0.06203326493653658,2.1997814874590693
192,17,Product Service,907,0.08460276008649958,2.3920805555303986
193,17,Auth Service,907,0.009629984661134029,0.32980063514668556
194,17,Order Service,928,0.0008769832247737232,0.5875188888063969
195,17,API,907,0.09421307865276785,3.8870505556807657
196,17,www,907,0.09421307865276785,4.193632022697137
197,17,Website,907,0.09421307865276785,4.403605615003451
198,18,Product DB,881,0.002999060160765059,0.7139256900088254
199,18,Customer DB,866,0.033702424195191046,0.3112875151583332
200,18,Order DB,895,0.00024518126227048514,0.03161867668282
201,18,Shipping Cost Service,921,0.012757768180647014,0.2879088121912836
202,18,Caching Service,881,0.11218035092372212,2.2162433371937458
203,18,Product Service,866,0.15304688882900253,2.5386465973723182
204,18,Auth Service,866,0.033702424195191046,0.6242302995121445
205,18,Order Service,895,0.005613872282814344,0.6724758214760624
206,18,API,866,0.18618570398620882,4.456920698245849
207,18,www,866,0.18618570398620882,4.778463574716332
208,18,Website,866,0.18618570398620882,4.812003672330779
209,19,Product DB,870,0.013999618314572113,0.017095779384437987
210,19,Customer DB,906,0.0006164886377117077,0.06551177126883355
211,19,Order DB,873,0.0054238096218966365,0.3273583962137731
212,19,Shipping Cost Service,879,0.007802958345187213,0.39774282336509104
213,19,Caching Service,870,0.013999618314572113,2.290794094237053
214,19,Product Service,906,0.022296453162386376,2.4343475200379716
215,19,Auth Service,906,0.002268686514913191,0.27674506880553584
216,19,Order Service,873,0.020961619023302482,0.8968472123011939
217,19,API,906,0.044962310254277105,4.5835081270678835
218,19,www,906,0.044962310254277105,4.7626011264597725
219,19,Website,906,0.044962310254277105,5.087450800013639
220,20,Product DB,901,0.0011043969132276338,0.3789876667866148
221,20,Customer DB,892,0.01756278397772254,0.4821393685450766
222,20,Order DB,923,9.769318390133568e-05,0.06226677184854754
223,20,Shipping Cost Service,938,0.001995931164542551,0.11140600574322254
224,20,Caching Service,901,0.056191603277207666,2.2598275946844275
225,20,Product Service,892,0.07461819849623252,2.518598589450166
226,20,Auth Service,892,0.01756278397772254,0.6853298587054186
227,20,Order Service,923,0.02780418607940569,0.7556165300586701
228,20,API,892,0.11614808554031497,4.718138568750701
229,20,www,892,0.11614808554031497,4.944293872127811
230,20,Website,892,0.11614808554031497,4.954835363681794
231,21,Product DB,852,0.010792401761846392,0.27821105854677375
232,21,Customer DB,948,0.02920587537835451,0.011287077550000342
233,21,Order DB,943,0.004677837943514385,0.25416481801216984
234,21,Shipping Cost Service,900,0.0022066114555485883,0.26462997247085834
235,21,Caching Service,852,0.010792401761846392,2.4328155811582968
236,21,Product Service,948,0.041802121925651026,2.772107494399403
237,21,Auth Service,948,0.02920587537835451,0.3038938128195281
238,21,Order Service,943,0.016629452676781637,0.9854383976633042
239,21,API,948,0.08525606064580782,4.631549935047563
240,21,www,948,0.08525606064580782,5.028766289315852
241,21,Website,948,0.08525606064580782,5.2772185120034205
242,22,Product DB,888,0.002774102037451713,0.11387020800278003
243,22,Customer DB,926,0.003549019733355168,0.1742468625380533
244,22,Order DB,890,0.0025886918689321686,0.2881954575794217
245,22,Shipping Cost Service,915,0.002574236406265168,0.17140901901456618
246,22,Caching Service,888,0.10805339786948646,2.296490985323414
247,22,Product Service,926,0.11350686653894204,2.6607564135462214
248,22,Auth Service,926,0.009597852848352191,0.8747564660254373
249,22,Order Service,890,0.0025886918689321686,0.8014662644196975
250,22,API,926,0.12428812904620001,4.925178286676294
251,22,www,926,0.12428812904620001,4.956937352500012
252,22,Website,926,0.12428812904620001,4.968672397840535
253,23,Product DB,913,0.00432282959893791,0.11880898795533562
254,23,Customer DB,893,0.01311649439683456,0.04263185003312877
255,23,Order DB,898,0.018833485784035743,0.011555612671598235
256,23,Shipping Cost Service,922,6.39299235360475e-05,0.12629715541803616
257,23,Caching Service,913,0.00432282959893791,2.2621223889097903
258,23,Product Service,893,0.017445442279296453,2.708115252390378
259,23,Auth Service,893,0.017785009574743157,0.25819443528363817
260,23,Order Service,898,0.018833485784035743,0.9512813404659394
261,23,API,893,0.05309600148181992,4.4975320468172155
262,23,www,893,0.05309600148181992,4.6116836060986826
263,23,Website,893,0.05309600148181992,4.612596310027419
264,24,Product DB,878,0.010759609239694453,0.2707970977210652
265,24,Customer DB,918,0.00028794125062808334,0.10891369676524454
266,24,Order DB,902,0.00708165520385905,0.4269246608342229
267,24,Shipping Cost Service,883,0.007190732382945693,0.30532343087210495
268,24,Caching Service,878,0.010759609239694453,2.381796092996055
269,24,Product Service,918,0.018255506876803534,2.566391717390644
270,24,Auth Service,918,0.008698687056998246,0.3280135409606598
271,24,Order Service,902,0.00708165520385905,1.243941096008607
272,24,API,918,0.03368729444788521,4.6693325574466895
273,24,www,918,0.03368729444788521,5.113673531342048
274,24,Website,918,0.03368729444788521,5.45494152979445
275,25,Product DB,903,0.00044849350131323913,0.13790352706321138
276,25,Customer DB,938,0.010045197513102358,0.4076554451301384
277,25,Order DB,929,0.007332672636810569,0.0790625168099799
278,25,Shipping Cost Service,935,0.021263598695463765,0.34873834084756306
279,25,Caching Service,903,0.00044849350131323913,2.314380136613831
280,25,Product Service,938,0.03152974666639896,2.747387816865546
281,25,Auth Service,938,0.010045197513102358,0.7068244553918778
282,25,Order Service,929,0.007332672636810569,0.7932283766159819
283,25,API,938,0.04828836125059777,4.912691457861474
284,25,www,938,0.04828836125059777,4.9952708516144915
285,25,Website,938,0.04828836125059777,5.316542780160143
286,26,Product DB,938,0.008118596955078971,0.07752383899185107
287,26,Customer DB,956,0.002977170467978051,0.029729048383242515
288,26,Order DB,893,0.004572734457431741,0.10985446569656981
289,26,Shipping Cost Service,891,0.007968710133034629,0.21821797710728852
290,26,Caching Service,938,0.09287199610819714,2.172717092171869
291,26,Product Service,956,0.10277979003475302,2.300394924277409
292,26,Auth Service,956,0.004888382363391544,0.3296634470568919
293,26,Order Service,893,0.019974388481823323,1.0451893157179815
294,26,API,956,0.12499956373478271,4.6645024743062
295,26,www,956,0.12499956373478271,4.791472080147684
296,26,Website,956,0.12499956373478271,4.824393683462399
297,27,Product DB,914,0.005568248671091874,0.15627998872074916
298,27,Customer DB,896,0.02376982672503325,0.5948360023034592
299,27,Order DB,931,0.0014585120057425119,0.46640939207027166
300,27,Shipping Cost Service,873,0.00838544383181662,0.31928293211533326
301,27,Caching Service,914,0.04854585262227818,2.241289021293525
302,27,Product Service,896,0.07895047379264508,2.7274099836646215
303,27,Auth Service,896,0.02376982672503325,0.8671315069302894
304,27,Order Service,931,0.013435528442346236,1.0910324367608395
305,27,API,896,0.11292430199666348,5.238640283977261
306,27,www,896,0.11292430199666348,5.656226907551805
307,27,Website,896,0.11292430199666348,5.78673407355003
308,28,Product DB,897,0.007086571166946538,0.2000661383866716
309,28,Customer DB,911,0.023661198047682942,0.15019275016284156
310,28,Order DB,862,0.00792678369830986,0.08033287390971759
311,28,Shipping Cost Service,933,0.006617121158128437,0.21525408299828402
312,28,Caching Service,897,0.007086571166946538,2.308127204942727
313,28,Product Service,911,0.03699486143212427,2.467221955954362
314,28,Auth Service,911,0.023661198047682942,0.3066378531981739
315,28,Order Service,862,0.015363024933943259,0.6193639213142736
316,28,API,911,0.07422532902886325,4.058725773986678
317,28,www,911,0.07422532902886325,4.318303400146728
318,28,Website,911,0.07422532902886325,4.8485644115526405
319,29,Product DB,912,0.01581589966346167,0.5336919126765635
320,29,Customer DB,895,0.003230918306702391,0.07124200265482537
321,29,Order DB,911,0.008226470017009466,0.09940422523255554
322,29,Shipping Cost Service,863,0.01048791352604075,0.29486423270793743
323,29,Caching Service,912,0.01581589966346167,2.645597352306186
324,29,Product Service,895,0.029284406167747856,2.7497828602780285
325,29,Auth Service,895,0.006870039380454597,0.18828343137895193
326,29,Order Service,911,0.008226470017009466,0.8180068062269159
327,29,API,895,0.043883962121886944,4.63752851749198
328,29,www,895,0.043883962121886944,4.641863421578002
329,29,Website,895,0.043883962121886944,4.659444648111391
330,30,Product DB,915,0.01056138251680332,0.04366671465917755
331,30,Customer DB,871,0.02303109771324932,0.23119947601841526
332,30,Order DB,947,0.015113175427828794,0.2912866491752876
333,30,Shipping Cost Service,951,0.0037375675890253313,0.1342564860319478
334,30,Caching Service,915,0.01056138251680332,2.3054393068676773
335,30,Product Service,871,0.036962162547813704,2.889995583911716
336,30,Auth Service,871,0.02303109771324932,0.48914250218924127
337,30,Order Service,947,0.015113175427828794,1.2786596751413466
338,30,API,871,0.07336133337629225,5.227502885719149
339,30,www,871,0.07336133337629225,5.757274928765505
340,30,Website,871,0.07336133337629225,5.768432434120667
341,31,Product DB,902,0.005983054416417216,0.3451897678459337
342,31,Customer DB,864,0.007125443247221871,0.09825623033169317
343,31,Order DB,880,0.0031744222690595434,0.4156367976174026
344,31,Shipping Cost Service,854,0.03193612974553312,0.16151107580962323
345,31,Caching Service,902,0.057696975863348085,2.1337040114665005
346,31,Product Service,864,0.09429038461266648,2.5202839673507214
347,31,Auth Service,864,0.007125443247221871,0.3191757564603561
348,31,Order Service,880,0.0031744222690595434,1.2128776570524877
349,31,API,864,0.10359858545207346,4.635228784691307
350,31,www,864,0.10359858545207346,4.686387434422501
351,31,Website,864,0.10359858545207346,4.8909560483399455
352,32,Product DB,881,0.007807196240850885,0.00853784672832005
353,32,Customer DB,951,0.00637576424524619,0.10502437238676954
354,32,Order DB,915,0.008583891836411972,0.10901235200262759
355,32,Shipping Cost Service,886,0.026911605488246886,0.22918118961512912
356,32,Caching Service,881,0.007807196240850885,2.13281746762963
357,32,Product Service,951,0.04066444246919054,2.4830430557504233
358,32,Auth Service,951,0.00637576424524619,0.49865879807968505
359,32,Order Service,915,0.04304950660988238,0.6490950323740763
360,32,API,951,0.08781655004814193,4.160921087591119
361,32,www,951,0.08781655004814193,4.225133087648708
362,32,Website,951,0.08781655004814193,4.244842509354074
363,33,Product DB,921,0.0005815976473501405,0.025313463794712283
364,33,Customer DB,888,0.03742940085020462,0.10860308612579889
365,33,Order DB,929,0.01902590970623126,0.4239069542157773
366,33,Shipping Cost Service,898,0.005667458882283481,0.15637966533472647
367,33,Caching Service,921,0.1508710286564605,2.1263598331982463
368,33,Product Service,888,0.1872856954484361,2.4139754128911
369,33,Auth Service,888,0.03742940085020462,0.24494781474994437
370,33,Order Service,929,0.01902590970623126,1.108648854779858
371,33,API,888,0.23258897696743575,4.397825784914781
372,33,www,888,0.23258897696743575,4.425521281022421
373,33,Website,888,0.23258897696743575,4.774917515418483
374,34,Product DB,909,0.01638356586743975,0.4179794147554714
375,34,Customer DB,830,0.0058069572050259595,0.7440658900372621
376,34,Order DB,927,0.024466723055420747,0.2607050255247957
377,34,Shipping Cost Service,932,0.001029963634526114,0.33485679917736727
378,34,Caching Service,909,0.12079867337130067,2.1090713371375003
379,34,Product Service,830,0.12680444478014097,2.455370837451251
380,34,Auth Service,830,0.0058069572050259595,1.1337292540021489
381,34,Order Service,927,0.03137840937972272,0.9505835485470436
382,34,API,830,0.15911543394923033,5.140373069765416
383,34,www,830,0.15911543394923033,5.281365611961226
384,34,Website,830,0.15911543394923033,5.4778654408382215
385,35,Product DB,826,0.013771666270400724,0.1735068547188414
386,35,Customer DB,894,0.0025837405803716177,0.07201270794420457
387,35,Order DB,911,0.0022613875764868445,0.3797432100373145
388,35,Shipping Cost Service,860,0.0026505102944986442,0.11835882523617951
389,35,Caching Service,826,0.08497835664959347,2.180014816709381
390,35,Product Service,894,0.08976154320723584,2.383000419607132
391,35,Auth Service,894,0.0025837405803716177,0.1941037848053978
392,35,Order Service,911,0.033315519122707755,0.9761080444794515
393,35,API,894,0.12236007785389935,4.240443664057487
394,35,www,894,0.12236007785389935,4.502363356033669
395,35,Website,894,0.12236007785389935,4.532718610880201
396,36,Product DB,885,0.0007202302425637202,0.15210712667375625
397,36,Customer DB,927,6.776982615518491e-06,0.369903596516045
398,36,Order DB,990,0.0013771857160156363,0.07417557057567774
399,36,Shipping Cost Service,836,0.004072205489485243,0.3617299012588566
400,36,Caching Service,885,0.04576327397019332,2.182905342422325
401,36,Product Service,927,0.04965556251557923,2.344909752350807
402,36,Auth Service,927,0.005003450799937653,0.48940131523227304
403,36,Order Service,990,0.0025116464726245265,0.5961652694220358
404,36,API,927,0.05678555052262679,4.175743308362623
405,36,www,927,0.05678555052262679,4.263993722669762
406,36,Website,927,0.05678555052262679,4.372493903664068
407,37,Product DB,939,0.005164022242187415,0.10020531280664227
408,37,Customer DB,885,0.001277362935667808,0.07134695785961397
409,37,Order DB,918,0.004426791461551464,0.009749838373065514
410,37,Shipping Cost Service,837,2.0176615128193124e-05,0.3170206224617007
411,37,Caching Service,939,0.09152342500533572,2.2094418621955723
412,37,Product Service,885,0.09270218587832313,2.3715630726953294
413,37,Auth Service,885,0.002409133881653082,0.30765974443877986
414,37,Order Service,918,0.008436230938266547,0.5666689040469289
415,37,API,885,0.10252372174313462,3.768025636231318
416,37,www,885,0.10252372174313462,4.100395341315592
417,37,Website,885,0.10252372174313462,4.29514365549573
418,38,Product DB,850,0.0010016896751753525,0.17883313432469247
419,38,Customer DB,927,0.0032042313141817315,0.245989640306125
420,38,Order DB,902,0.013780020273597428,0.0914425464187704
421,38,Shipping Cost Service,926,0.0015203975884560408,0.1926094441130784
422,38,Caching Service,850,0.14854188634596624,2.11904061099704
423,38,Product Service,927,0.15256056190589262,2.501637267927502
424,38,Auth Service,927,0.011384164781473393,0.5050548949216876
425,38,Order Service,902,0.013780020273597428,0.6849947744448154
426,38,API,927,0.17375274351643788,4.399789880695593
427,38,www,927,0.17375274351643788,4.85588956779637
428,38,Website,927,0.17375274351643788,4.896266637759875
429,39,Product DB,930,0.0118151153446576,0.055372492245769546
430,39,Customer DB,857,0.0014307766335068073,0.22254144094649608
431,39,Order DB,903,0.006484363689870653,0.04223875588753074
432,39,Shipping Cost Service,906,0.002720315812617049,0.26188276140120426
433,39,Caching Service,930,0.10272714971025362,2.3203044917207674
434,39,Product Service,857,0.10644831992784776,2.6447220498610124
435,39,Auth Service,857,0.0014307766335068073,0.6599143776048272
436,39,Order Service,903,0.011437133451850242,0.7419091003837218
437,39,API,857,0.11793184053886807,4.872984785178292
438,39,www,857,0.11793184053886807,5.251395281874438
439,39,Website,857,0.11793184053886807,5.267940796811172
440,40,Product DB,945,0.013079347443366989,0.2109962809223966
441,40,Customer DB,898,0.006193804080425637,0.11699160245798379
442,40,Order DB,911,0.012380866751771549,0.582468673732376
443,40,Shipping Cost Service,909,0.013490461627667054,0.18471457814202905
444,40,Caching Service,945,0.0983291084359668,2.2535781280234826
445,40,Product Service,898,0.11600249668296936,2.500761042158235
446,40,Auth Service,898,0.006193804080425637,0.4889027333267585
447,40,Order Service,911,0.016290498719474224,1.085871216640073
448,40,API,898,0.13578936873464298,4.763020517773408
449,40,www,898,0.13578936873464298,4.872979581603109
450,40,Website,898,0.13578936873464298,5.420226275991654
451,41,Product DB,928,0.01838529792335924,0.007804989220536997
452,41,Customer DB,953,0.003908775056142546,0.31236910193968054
453,41,Order DB,954,0.005590090175751045,0.030187415668713233
454,41,Shipping Cost Service,934,0.011317468660431654,0.461619332018263
455,41,Caching Service,928,0.06088740819521567,2.3182236261690115
456,41,Product Service,953,0.07514502145915847,2.627551828300878
457,41,Auth Service,953,0.003908775056142546,0.49667058809648396
458,41,Order Service,954,0.010139976837361057,0.5405982706696689
459,41,API,953,0.08810142306616775,4.313702664368032
460,41,www,953,0.08810142306616775,4.664206045912838
461,41,Website,953,0.08810142306616775,5.011404992072248
462,42,Product DB,901,0.03773119253452837,0.46358577189184746
463,42,Customer DB,909,0.005314885815000257,0.03745691427925888
464,42,Order DB,897,0.038663832075227986,0.9765231673251678
465,42,Shipping Cost Service,901,0.005544133340988529,0.1964160825633377
466,42,Caching Service,901,0.07710217438880432,2.1366399232206565
467,42,Product Service,909,0.08709674504674636,2.484148271556111
468,42,Auth Service,909,0.006880923703318069,0.29956340790562025
469,42,Order Service,897,0.038663832075227986,1.8665707267156757
470,42,API,909,0.1284318294332123,5.245147671974233
471,42,www,909,0.1284318294332123,5.396686288687782
472,42,Website,909,0.1284318294332123,5.4652364552905786
473,43,Product DB,887,0.004088010917449466,0.6142819547498215
474,43,Customer DB,876,0.00018377945163351,0.2821849503073072
475,43,Order DB,820,0.008039760788821576,0.14752353859194575
476,43,Shipping Cost Service,963,0.024571919881494125,0.4168086844986595
477,43,Caching Service,887,0.004088010917449466,2.8486382343711654
478,43,Product Service,876,0.028738011328169555,3.1524224482615164
479,43,Auth Service,876,0.02911021773189318,0.3983296998626097
480,43,Order Service,820,0.01253387441897367,0.6570797316583296
481,43,API,876,0.06883095673409456,5.012807165956718
482,43,www,876,0.06883095673409456,5.074341077615259
483,43,Website,876,0.06883095673409456,5.092661493137914
484,44,Product DB,919,0.01686990593957277,0.04236746822286319
